sex,age,cause,country,2016,2017,2018,2019,2020,2021,2022,2023
Females,From 30 to 44 years,Use of alcohol,Bulgaria,,,0.0,1.0,1.0,3.0,0.0,
Males,From 30 to 44 years,Use of alcohol,Bulgaria,,,0.0,4.0,1.0,1.0,1.0,
Total,From 30 to 44 years,Use of alcohol,Bulgaria,,,0.0,5.0,2.0,4.0,1.0,
Females,From 45 to 64 years,Use of alcohol,Bulgaria,,,0.0,1.0,3.0,4.0,1.0,
Males,From 45 to 64 years,Use of alcohol,Bulgaria,,,0.0,16.0,29.0,15.0,10.0,
Total,From 45 to 64 years,Use of alcohol,Bulgaria,,,0.0,17.0,32.0,19.0,11.0,
Females,Less than 15 years,Use of alcohol,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Use of alcohol,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Use of alcohol,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Use of alcohol,Bulgaria,1.0,3.0,3.0,3.0,6.0,9.0,1.0,
Males,Total,Use of alcohol,Bulgaria,24.0,17.0,29.0,30.0,42.0,33.0,17.0,
Total,Total,Use of alcohol,Bulgaria,25.0,20.0,32.0,33.0,48.0,42.0,18.0,
Females,65 years or over,Drug dependence,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
Males,65 years or over,Drug dependence,Croatia,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
Total,65 years or over,Drug dependence,Croatia,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
Females,From 15 to 29 years,Drug dependence,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
Males,From 15 to 29 years,Drug dependence,Croatia,1.0,1.0,0.0,2.0,1.0,0.0,0.0,
Total,From 15 to 29 years,Drug dependence,Croatia,1.0,1.0,0.0,2.0,1.0,0.0,1.0,
Females,From 30 to 44 years,Drug dependence,Croatia,,0.0,2.0,5.0,3.0,1.0,2.0,
Males,From 30 to 44 years,Drug dependence,Croatia,,9.0,10.0,14.0,17.0,10.0,10.0,
Total,From 30 to 44 years,Drug dependence,Croatia,,9.0,12.0,19.0,20.0,11.0,12.0,
Females,From 45 to 64 years,Drug dependence,Croatia,,1.0,2.0,1.0,5.0,4.0,1.0,
Males,From 45 to 64 years,Drug dependence,Croatia,,6.0,12.0,11.0,10.0,15.0,19.0,
Total,From 45 to 64 years,Drug dependence,Croatia,,7.0,14.0,12.0,15.0,19.0,20.0,
Females,Less than 15 years,Drug dependence,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Drug dependence,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Drug dependence,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Drug dependence,Croatia,3.0,1.0,4.0,6.0,8.0,5.0,5.0,
Males,Total,Drug dependence,Croatia,11.0,17.0,22.0,27.0,28.0,26.0,29.0,
Total,Total,Drug dependence,Croatia,14.0,18.0,26.0,33.0,36.0,31.0,34.0,
Females,65 years or over,Intentional self-harm,Croatia,76.0,66.0,72.0,60.0,56.0,67.0,49.0,
Males,65 years or over,Intentional self-harm,Croatia,189.0,162.0,183.0,183.0,171.0,185.0,159.0,
Total,65 years or over,Intentional self-harm,Croatia,265.0,228.0,255.0,243.0,227.0,252.0,208.0,
Females,From 15 to 29 years,Intentional self-harm,Croatia,9.0,9.0,8.0,11.0,8.0,7.0,16.0,
Males,From 15 to 29 years,Intentional self-harm,Croatia,52.0,47.0,52.0,45.0,52.0,42.0,44.0,
Total,From 15 to 29 years,Intentional self-harm,Croatia,61.0,56.0,60.0,56.0,60.0,49.0,60.0,
Females,From 30 to 44 years,Intentional self-harm,Croatia,,27.0,20.0,9.0,11.0,13.0,12.0,
Males,From 30 to 44 years,Intentional self-harm,Croatia,,64.0,81.0,88.0,69.0,65.0,69.0,
Total,From 30 to 44 years,Intentional self-harm,Croatia,,91.0,101.0,97.0,80.0,78.0,81.0,
Females,From 45 to 64 years,Intentional self-harm,Croatia,,58.0,64.0,40.0,51.0,43.0,54.0,
Males,From 45 to 64 years,Intentional self-harm,Croatia,,202.0,199.0,146.0,143.0,167.0,151.0,
Total,From 45 to 64 years,Intentional self-harm,Croatia,,260.0,263.0,186.0,194.0,210.0,205.0,
Females,Less than 15 years,Intentional self-harm,Croatia,0.0,0.0,0.0,1.0,2.0,0.0,0.0,
Males,Less than 15 years,Intentional self-harm,Croatia,0.0,0.0,3.0,1.0,0.0,1.0,2.0,
Total,Less than 15 years,Intentional self-harm,Croatia,0.0,0.0,3.0,2.0,2.0,1.0,2.0,
Females,Total,Intentional self-harm,Croatia,171.0,160.0,164.0,121.0,128.0,130.0,131.0,
Males,Total,Intentional self-harm,Croatia,522.0,476.0,518.0,463.0,435.0,460.0,425.0,
Total,Total,Intentional self-harm,Croatia,693.0,636.0,682.0,584.0,563.0,590.0,556.0,
Females,65 years or over,Mental and behavioural disorders,Croatia,880.0,919.0,926.0,948.0,878.0,1189.0,1342.0,0.0
Males,65 years or over,Mental and behavioural disorders,Croatia,400.0,443.0,467.0,497.0,458.0,582.0,658.0,0.0
Total,65 years or over,Mental and behavioural disorders,Croatia,1280.0,1362.0,1393.0,1445.0,1336.0,1771.0,2000.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,Croatia,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Croatia,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Croatia,3.0,1.0,0.0,3.0,1.0,0.0,5.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Croatia,0.0,5.0,8.0,12.0,10.0,4.0,7.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,Croatia,0.0,21.0,18.0,22.0,36.0,22.0,28.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,Croatia,0.0,26.0,26.0,34.0,46.0,26.0,35.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,Croatia,0.0,42.0,32.0,63.0,48.0,37.0,37.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,Croatia,0.0,126.0,135.0,207.0,179.0,207.0,188.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,Croatia,0.0,168.0,167.0,270.0,227.0,244.0,225.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Females,Total,Mental and behavioural disorders,Croatia,929.0,966.0,966.0,1023.0,936.0,1230.0,1391.0,0.0
Males,Total,Mental and behavioural disorders,Croatia,537.0,591.0,620.0,729.0,674.0,811.0,876.0,0.0
Total,Total,Mental and behavioural disorders,Croatia,1466.0,1557.0,1586.0,1752.0,1610.0,2041.0,2267.0,0.0
Females,65 years or over,Total,Croatia,23607.0,24938.0,24192.0,23966.0,26367.0,28670.0,26728.0,
Males,65 years or over,Total,Croatia,19134.0,19715.0,19812.0,19590.0,22101.0,24700.0,22285.0,
Total,65 years or over,Total,Croatia,42741.0,44653.0,44004.0,43556.0,48468.0,53370.0,49013.0,
Females,From 15 to 29 years,Total,Croatia,65.0,72.0,72.0,73.0,60.0,78.0,74.0,
Males,From 15 to 29 years,Total,Croatia,233.0,230.0,216.0,224.0,230.0,212.0,225.0,
Total,From 15 to 29 years,Total,Croatia,298.0,302.0,288.0,297.0,290.0,290.0,299.0,
Females,From 30 to 44 years,Total,Croatia,,247.0,240.0,248.0,249.0,270.0,240.0,
Males,From 30 to 44 years,Total,Croatia,,564.0,623.0,649.0,543.0,612.0,632.0,
Total,From 30 to 44 years,Total,Croatia,,811.0,863.0,897.0,792.0,882.0,872.0,
Females,From 45 to 64 years,Total,Croatia,,2459.0,2399.0,2307.0,2392.0,2710.0,2230.0,
Males,From 45 to 64 years,Total,Croatia,,5556.0,5557.0,5206.0,5374.0,5886.0,5089.0,
Total,From 45 to 64 years,Total,Croatia,,8015.0,7956.0,7513.0,7766.0,8596.0,7319.0,
Females,Less than 15 years,Total,Croatia,108.0,101.0,80.0,98.0,96.0,97.0,78.0,
Males,Less than 15 years,Total,Croatia,127.0,137.0,150.0,109.0,113.0,111.0,126.0,
Total,Less than 15 years,Total,Croatia,235.0,238.0,230.0,207.0,209.0,208.0,204.0,
Females,Total,Total,Croatia,26397.0,27817.0,26985.0,26692.0,29164.0,31826.0,29350.0,
Males,Total,Total,Croatia,25678.0,26207.0,26364.0,25785.0,28368.0,31523.0,28367.0,
Total,Total,Total,Croatia,52075.0,54024.0,53349.0,52477.0,57532.0,63349.0,57717.0,
Females,65 years or over,Use of alcohol,Croatia,13.0,15.0,11.0,24.0,20.0,19.0,21.0,
Males,65 years or over,Use of alcohol,Croatia,92.0,62.0,80.0,150.0,123.0,148.0,148.0,
Total,65 years or over,Use of alcohol,Croatia,105.0,77.0,91.0,174.0,143.0,167.0,169.0,
Females,From 15 to 29 years,Use of alcohol,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,From 15 to 29 years,Use of alcohol,Croatia,0.0,0.0,0.0,1.0,0.0,0.0,2.0,
Total,From 15 to 29 years,Use of alcohol,Croatia,0.0,0.0,0.0,1.0,0.0,0.0,2.0,
Females,From 30 to 44 years,Use of alcohol,Croatia,,1.0,0.0,1.0,5.0,3.0,3.0,
Males,From 30 to 44 years,Use of alcohol,Croatia,,8.0,6.0,6.0,13.0,10.0,14.0,
Total,From 30 to 44 years,Use of alcohol,Croatia,,9.0,6.0,7.0,18.0,13.0,17.0,
Females,From 45 to 64 years,Use of alcohol,Croatia,,6.0,6.0,18.0,12.0,6.0,10.0,
Males,From 45 to 64 years,Use of alcohol,Croatia,,65.0,90.0,115.0,113.0,147.0,143.0,
Total,From 45 to 64 years,Use of alcohol,Croatia,,71.0,96.0,133.0,125.0,153.0,153.0,
Females,Less than 15 years,Use of alcohol,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Use of alcohol,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Use of alcohol,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Use of alcohol,Croatia,23.0,22.0,17.0,43.0,37.0,28.0,34.0,
Males,Total,Use of alcohol,Croatia,189.0,135.0,176.0,272.0,249.0,305.0,307.0,
Total,Total,Use of alcohol,Croatia,212.0,157.0,193.0,315.0,286.0,333.0,341.0,
Females,65 years or over,Drug dependence,Cyprus,,0.0,1.0,1.0,0.0,0.0,0.0,
Males,65 years or over,Drug dependence,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,65 years or over,Drug dependence,Cyprus,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
Females,From 15 to 29 years,Drug dependence,Cyprus,,0.0,0.0,0.0,0.0,0.0,0.0,
Males,From 15 to 29 years,Drug dependence,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,From 15 to 29 years,Drug dependence,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,From 30 to 44 years,Drug dependence,Cyprus,,,0.0,0.0,0.0,0.0,0.0,
Males,From 30 to 44 years,Drug dependence,Cyprus,,,0.0,2.0,0.0,1.0,0.0,
Total,From 30 to 44 years,Drug dependence,Cyprus,,,0.0,2.0,0.0,1.0,0.0,
Females,From 45 to 64 years,Drug dependence,Cyprus,,,0.0,0.0,0.0,0.0,0.0,
Males,From 45 to 64 years,Drug dependence,Cyprus,,,0.0,0.0,0.0,0.0,0.0,
Total,From 45 to 64 years,Drug dependence,Cyprus,,,0.0,0.0,0.0,0.0,0.0,
Females,Less than 15 years,Drug dependence,Cyprus,,0.0,0.0,0.0,0.0,,0.0,
Males,Less than 15 years,Drug dependence,Cyprus,0.0,0.0,0.0,0.0,0.0,,0.0,
Total,Less than 15 years,Drug dependence,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Drug dependence,Cyprus,,0.0,1.0,1.0,0.0,0.0,0.0,
Males,Total,Drug dependence,Cyprus,1.0,0.0,1.0,2.0,0.0,1.0,0.0,
Total,Total,Drug dependence,Cyprus,1.0,0.0,2.0,3.0,0.0,1.0,0.0,
Females,65 years or over,Intentional self-harm,Cyprus,0.0,0.0,2.0,1.0,0.0,1.0,1.0,
Males,65 years or over,Intentional self-harm,Cyprus,5.0,4.0,2.0,5.0,2.0,3.0,5.0,
Total,65 years or over,Intentional self-harm,Cyprus,5.0,4.0,4.0,6.0,2.0,4.0,6.0,
Females,From 15 to 29 years,Intentional self-harm,Cyprus,1.0,3.0,1.0,0.0,1.0,0.0,1.0,
Males,From 15 to 29 years,Intentional self-harm,Cyprus,5.0,9.0,14.0,8.0,5.0,3.0,5.0,
Total,From 15 to 29 years,Intentional self-harm,Cyprus,6.0,12.0,15.0,8.0,6.0,3.0,6.0,
Females,From 30 to 44 years,Intentional self-harm,Cyprus,,,0.0,2.0,2.0,6.0,3.0,
Males,From 30 to 44 years,Intentional self-harm,Cyprus,,,0.0,7.0,8.0,6.0,8.0,
Total,From 30 to 44 years,Intentional self-harm,Cyprus,,,0.0,9.0,10.0,12.0,11.0,
Females,From 45 to 64 years,Intentional self-harm,Cyprus,,,0.0,1.0,4.0,3.0,6.0,
Males,From 45 to 64 years,Intentional self-harm,Cyprus,,,0.0,14.0,9.0,3.0,11.0,
Total,From 45 to 64 years,Intentional self-harm,Cyprus,,,0.0,15.0,13.0,6.0,17.0,
Females,Less than 15 years,Intentional self-harm,Cyprus,,0.0,0.0,0.0,0.0,,0.0,
Males,Less than 15 years,Intentional self-harm,Cyprus,,0.0,0.0,1.0,0.0,,0.0,
Total,Less than 15 years,Intentional self-harm,Cyprus,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
Females,Total,Intentional self-harm,Cyprus,5.0,6.0,8.0,4.0,7.0,10.0,11.0,
Males,Total,Intentional self-harm,Cyprus,31.0,32.0,35.0,35.0,24.0,16.0,29.0,
Total,Total,Intentional self-harm,Cyprus,36.0,38.0,43.0,39.0,31.0,26.0,40.0,
Females,65 years or over,Mental and behavioural disorders,Cyprus,110.0,117.0,162.0,183.0,161.0,201.0,230.0,0.0
Males,65 years or over,Mental and behavioural disorders,Cyprus,52.0,81.0,100.0,84.0,86.0,123.0,139.0,0.0
Total,65 years or over,Mental and behavioural disorders,Cyprus,162.0,198.0,262.0,267.0,247.0,324.0,369.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,4.0,0.0,5.0,2.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,4.0,2.0,5.0,2.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,0.0,6.0,9.0,10.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,2.0,9.0,11.0,12.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Mental and behavioural disorders,Cyprus,112.0,119.0,170.0,185.0,166.0,205.0,232.0,0.0
Males,Total,Mental and behavioural disorders,Cyprus,55.0,83.0,104.0,88.0,92.0,137.0,151.0,0.0
Total,Total,Mental and behavioural disorders,Cyprus,167.0,202.0,274.0,273.0,258.0,342.0,383.0,0.0
Females,65 years or over,Total,Cyprus,2272.0,2568.0,2450.0,2643.0,2724.0,3011.0,3140.0,
Males,65 years or over,Total,Cyprus,2387.0,2615.0,2537.0,2714.0,2779.0,3159.0,3157.0,
Total,65 years or over,Total,Cyprus,4659.0,5183.0,4987.0,5357.0,5503.0,6170.0,6297.0,
Females,From 15 to 29 years,Total,Cyprus,8.0,15.0,12.0,8.0,15.0,10.0,23.0,
Males,From 15 to 29 years,Total,Cyprus,36.0,39.0,40.0,43.0,39.0,44.0,45.0,
Total,From 15 to 29 years,Total,Cyprus,44.0,54.0,52.0,51.0,54.0,54.0,68.0,
Females,From 30 to 44 years,Total,Cyprus,,,0.0,50.0,43.0,56.0,40.0,
Males,From 30 to 44 years,Total,Cyprus,,,0.0,86.0,81.0,99.0,93.0,
Total,From 30 to 44 years,Total,Cyprus,,,0.0,136.0,124.0,155.0,133.0,
Females,From 45 to 64 years,Total,Cyprus,,,0.0,266.0,286.0,325.0,293.0,
Males,From 45 to 64 years,Total,Cyprus,,,0.0,497.0,553.0,542.0,536.0,
Total,From 45 to 64 years,Total,Cyprus,,,0.0,763.0,839.0,867.0,829.0,
Females,Less than 15 years,Total,Cyprus,,19.0,16.0,18.0,15.0,,26.0,
Males,Less than 15 years,Total,Cyprus,,12.0,22.0,29.0,17.0,,22.0,
Total,Less than 15 years,Total,Cyprus,38.0,31.0,38.0,47.0,32.0,44.0,48.0,
Females,Total,Total,Cyprus,2561.0,2910.0,2792.0,2985.0,3083.0,3423.0,3522.0,
Males,Total,Total,Cyprus,2986.0,3254.0,3130.0,3369.0,3469.0,3867.0,3853.0,
Total,Total,Total,Cyprus,5547.0,6164.0,5922.0,6354.0,6552.0,7290.0,7375.0,
Females,65 years or over,Use of alcohol,Cyprus,,0.0,0.0,1.0,0.0,1.0,0.0,
Males,65 years or over,Use of alcohol,Cyprus,1.0,1.0,1.0,2.0,1.0,1.0,3.0,
Total,65 years or over,Use of alcohol,Cyprus,1.0,1.0,1.0,3.0,1.0,2.0,3.0,
Females,From 15 to 29 years,Use of alcohol,Cyprus,,0.0,0.0,0.0,0.0,0.0,0.0,
Males,From 15 to 29 years,Use of alcohol,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,From 15 to 29 years,Use of alcohol,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,From 30 to 44 years,Use of alcohol,Cyprus,,,0.0,0.0,0.0,0.0,0.0,
Males,From 30 to 44 years,Use of alcohol,Cyprus,,,0.0,0.0,0.0,0.0,0.0,
Total,From 30 to 44 years,Use of alcohol,Cyprus,,,0.0,0.0,0.0,0.0,0.0,
Females,From 45 to 64 years,Use of alcohol,Cyprus,,,0.0,0.0,1.0,0.0,0.0,
Males,From 45 to 64 years,Use of alcohol,Cyprus,,,0.0,0.0,2.0,3.0,2.0,
Total,From 45 to 64 years,Use of alcohol,Cyprus,,,0.0,0.0,3.0,3.0,2.0,
Females,Less than 15 years,Use of alcohol,Cyprus,,0.0,0.0,0.0,0.0,,0.0,
Males,Less than 15 years,Use of alcohol,Cyprus,0.0,0.0,0.0,0.0,0.0,,0.0,
Total,Less than 15 years,Use of alcohol,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Use of alcohol,Cyprus,,0.0,2.0,1.0,1.0,1.0,0.0,
Males,Total,Use of alcohol,Cyprus,2.0,2.0,2.0,2.0,3.0,4.0,5.0,
Total,Total,Use of alcohol,Cyprus,2.0,2.0,4.0,3.0,4.0,5.0,5.0,
Females,65 years or over,Drug dependence,Czechia,0.0,0.0,3.0,1.0,1.0,2.0,3.0,2.0
Males,65 years or over,Drug dependence,Czechia,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Total,65 years or over,Drug dependence,Czechia,0.0,0.0,3.0,1.0,1.0,3.0,4.0,3.0
Females,From 15 to 29 years,Drug dependence,Czechia,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 15 to 29 years,Drug dependence,Czechia,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Total,From 15 to 29 years,Drug dependence,Czechia,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
Females,From 30 to 44 years,Drug dependence,Czechia,,,0.0,0.0,2.0,3.0,2.0,0.0
Males,From 30 to 44 years,Drug dependence,Czechia,,,0.0,1.0,0.0,1.0,2.0,1.0
Total,From 30 to 44 years,Drug dependence,Czechia,,,0.0,1.0,2.0,4.0,4.0,1.0
Females,From 45 to 64 years,Drug dependence,Czechia,,,0.0,2.0,0.0,1.0,2.0,1.0
Males,From 45 to 64 years,Drug dependence,Czechia,,,0.0,0.0,3.0,1.0,2.0,4.0
Total,From 45 to 64 years,Drug dependence,Czechia,,,0.0,2.0,3.0,2.0,4.0,5.0
Females,Less than 15 years,Drug dependence,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Drug dependence,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Drug dependence,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Drug dependence,Czechia,2.0,4.0,3.0,3.0,3.0,6.0,7.0,3.0
Males,Total,Drug dependence,Czechia,1.0,2.0,3.0,2.0,3.0,3.0,6.0,6.0
Total,Total,Drug dependence,Czechia,3.0,6.0,6.0,5.0,6.0,9.0,13.0,9.0
Females,65 years or over,Intentional self-harm,Czechia,65.0,94.0,84.0,76.0,72.0,75.0,80.0,79.0
Males,65 years or over,Intentional self-harm,Czechia,292.0,272.0,315.0,298.0,320.0,331.0,337.0,290.0
Total,65 years or over,Intentional self-harm,Czechia,357.0,366.0,399.0,374.0,392.0,406.0,417.0,369.0
Females,From 15 to 29 years,Intentional self-harm,Czechia,32.0,35.0,32.0,34.0,28.0,39.0,44.0,37.0
Males,From 15 to 29 years,Intentional self-harm,Czechia,158.0,164.0,151.0,130.0,122.0,112.0,138.0,117.0
Total,From 15 to 29 years,Intentional self-harm,Czechia,190.0,199.0,183.0,164.0,150.0,151.0,182.0,154.0
Females,From 30 to 44 years,Intentional self-harm,Czechia,,,0.0,41.0,38.0,45.0,55.0,40.0
Males,From 30 to 44 years,Intentional self-harm,Czechia,,,0.0,229.0,247.0,225.0,237.0,277.0
Total,From 30 to 44 years,Intentional self-harm,Czechia,,,0.0,270.0,285.0,270.0,292.0,317.0
Females,From 45 to 64 years,Intentional self-harm,Czechia,,,0.0,90.0,79.0,101.0,95.0,78.0
Males,From 45 to 64 years,Intentional self-harm,Czechia,,,0.0,314.0,340.0,323.0,346.0,345.0
Total,From 45 to 64 years,Intentional self-harm,Czechia,,,0.0,404.0,419.0,424.0,441.0,423.0
Females,Less than 15 years,Intentional self-harm,Czechia,0.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0
Males,Less than 15 years,Intentional self-harm,Czechia,0.0,1.0,1.0,3.0,3.0,3.0,1.0,5.0
Total,Less than 15 years,Intentional self-harm,Czechia,0.0,2.0,4.0,7.0,4.0,5.0,3.0,8.0
Females,Total,Intentional self-harm,Czechia,260.0,296.0,253.0,245.0,218.0,262.0,276.0,237.0
Males,Total,Intentional self-harm,Czechia,1088.0,1133.0,1127.0,974.0,1032.0,994.0,1059.0,1034.0
Total,Total,Intentional self-harm,Czechia,1348.0,1429.0,1380.0,1219.0,1250.0,1256.0,1335.0,1271.0
Females,65 years or over,Mental and behavioural disorders,Czechia,810.0,1039.0,982.0,1065.0,1197.0,1215.0,1110.0,1087.0
Males,65 years or over,Mental and behavioural disorders,Czechia,510.0,610.0,610.0,651.0,714.0,666.0,654.0,665.0
Total,65 years or over,Mental and behavioural disorders,Czechia,1320.0,1649.0,1592.0,1716.0,1911.0,1881.0,1764.0,1752.0
Females,From 15 to 29 years,Mental and behavioural disorders,Czechia,0.0,6.0,7.0,0.0,4.0,0.0,7.0,6.0
Males,From 15 to 29 years,Mental and behavioural disorders,Czechia,8.0,0.0,3.0,3.0,0.0,2.0,1.0,3.0
Total,From 15 to 29 years,Mental and behavioural disorders,Czechia,8.0,6.0,10.0,3.0,4.0,2.0,8.0,9.0
Females,From 30 to 44 years,Mental and behavioural disorders,Czechia,0.0,0.0,0.0,12.0,12.0,12.0,14.0,11.0
Males,From 30 to 44 years,Mental and behavioural disorders,Czechia,0.0,0.0,0.0,17.0,19.0,12.0,28.0,16.0
Total,From 30 to 44 years,Mental and behavioural disorders,Czechia,0.0,0.0,0.0,29.0,31.0,24.0,42.0,27.0
Females,From 45 to 64 years,Mental and behavioural disorders,Czechia,0.0,0.0,0.0,33.0,36.0,40.0,50.0,28.0
Males,From 45 to 64 years,Mental and behavioural disorders,Czechia,0.0,0.0,0.0,97.0,121.0,138.0,114.0,105.0
Total,From 45 to 64 years,Mental and behavioural disorders,Czechia,0.0,0.0,0.0,130.0,157.0,178.0,164.0,133.0
Females,Less than 15 years,Mental and behavioural disorders,Czechia,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Czechia,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Czechia,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
Females,Total,Mental and behavioural disorders,Czechia,847.0,1081.0,1020.0,1110.0,1249.0,1269.0,1181.0,1132.0
Males,Total,Mental and behavioural disorders,Czechia,629.0,720.0,712.0,768.0,854.0,818.0,799.0,789.0
Total,Total,Mental and behavioural disorders,Czechia,1476.0,1801.0,1732.0,1878.0,2103.0,2087.0,1980.0,1921.0
Females,65 years or over,Total,Czechia,46428.0,48681.0,49324.0,48788.0,56376.0,59153.0,52825.0,49160.0
Males,65 years or over,Total,Czechia,41265.0,42819.0,43822.0,44340.0,52941.0,57853.0,48588.0,45739.0
Total,65 years or over,Total,Czechia,87693.0,91500.0,93146.0,93128.0,109317.0,117006.0,101413.0,94899.0
Females,From 15 to 29 years,Total,Czechia,200.0,175.0,188.0,208.0,163.0,179.0,209.0,181.0
Males,From 15 to 29 years,Total,Czechia,564.0,569.0,586.0,561.0,490.0,470.0,528.0,472.0
Total,From 15 to 29 years,Total,Czechia,764.0,744.0,774.0,769.0,653.0,649.0,737.0,653.0
Females,From 30 to 44 years,Total,Czechia,,,0.0,769.0,790.0,902.0,732.0,678.0
Males,From 30 to 44 years,Total,Czechia,,,0.0,1712.0,1814.0,1968.0,1872.0,1768.0
Total,From 30 to 44 years,Total,Czechia,,,0.0,2481.0,2604.0,2870.0,2604.0,2446.0
Females,From 45 to 64 years,Total,Czechia,,,0.0,5086.0,5278.0,6009.0,5063.0,4607.0
Males,From 45 to 64 years,Total,Czechia,,,0.0,10730.0,11434.0,13320.0,10676.0,10103.0
Total,From 45 to 64 years,Total,Czechia,,,0.0,15816.0,16712.0,19329.0,15739.0,14710.0
Females,Less than 15 years,Total,Czechia,218.0,189.0,211.0,201.0,167.0,169.0,193.0,170.0
Males,Less than 15 years,Total,Czechia,275.0,284.0,249.0,270.0,237.0,237.0,224.0,194.0
